,year,breed,dog,owner(s),group,BIS
128,1995,Norwegian Elkhound,Ch. Vin-Melca’s Marketta,J. & N. Eisley-Bennett & P. Craige,Hound,False
129,1994,Norwegian Elkhound,Ch. Vin-Melca’s Marketta,J. & N. Bennett & P. Craige,Hound,False
130,1993,Borzoi,Ch. Fox Run’s Ivy Rose,Ronald Mater & Joanne Hack,Hound,False
131,1992,Basset Hound,Ch. Lil’ Creek Briarcrest Top Gun,Dan & Julie Jones,Hound,False
132,1991,Scottish Deerhound,Ch. Fernhill’s Phantom CD,Miranda Levin & Barbara Heidenreich,Hound,False
133,1990,Norwegian Elkhound,Ch. Vin-Melca’s Calista,Carol Anderson,Hound,False
134,1989,Norwegian Elkhound,Ch. Vin-Melca’s Calista,Carol Anderson,Hound,False
135,1988,Bloodhound,Ch. Viking’s Thor,Charles Sexton,Hound,False
136,1987,Bloodhound,Ch. Viking’s Thor,Charles Sexton,Hound,False
137,1986,Norwegian Elkhound,Ch. Vin-Melca’s Call To Arms,Ashlyn Cannon,Hound,False
138,1985,Irish Wolfhound,Ch. Aodh Harp of Eagle,"Samuel Evans Ewing, III",Hound,False
139,1984,English Foxhound,Ch. Mr Stewar’s Cheshire Winslow,Emily Latimer & Suzy A. Reingold,Hound,False
140,1983,Afghan Hound,Ch. Kabiks The Challenger,Chris & Marquerite Terrell,Hound,True
141,1982,Saluki,Ch. Bel S’mbran Aba Fantasia,George & Sally Bell,Hound,False
142,1981,Whippet,Ch. Sporting Fields Clansman,Mr. & Mrs. James E. & Eleanor Butt,Hound,False
143,1980,Greyhound,Ch. Aroi Talk of the Blues,Mr & Mrs N J Reese,Hound,False
144,1979,Norweigan Elkhound,Ch. Vin-Melca’s Nimbus,Patricia V. Craige & Harold Shuler,Hound,False
145,1978,Greyhound,Ch. Aroi Talk of the Blues,Mr. & Mrs. N. J. Reese,Hound,False
146,1977,Norwegian Elkhound,Ch. Vin-Melca’s Nimbus,Patricia V. Craige & Harold Shuler,Hound,False
147,1976,Saluki,Ch. Canem-Dei’s El Salta Aun,Mimi Carlyle,Hound,False
148,1975,Irish Wolfhound,Ch. Breac O’Shawn McDown of Eagle,Mr. & Mrs. William Snuffin,Hound,False
149,1974,Norwegian Elkhound,Ch.Vin Melca’s Homesteader,Patricia V. Craige & D. Schiller,Hound,False
150,1973,Afghan Hound,Ch. Khayam’s Apollo,Dr. & Mrs. Doyle Rogers,Hound,False
151,1972,Basenji,Ch. Reville Re Up,Estate of Elaine S. Hoffman,Hound,False
152,1971,Norwegian Elkhound,Ch. Vin Melca’s Vagabond,Patricia V. Craige,Hound,False
153,1970,Norwegian Elkhound,Ch. Vin Melca’s Vagabond,Patricia V. Craige,Hound,False
154,1969,Dachshund (Smooth),Ch. Crosswynd’s Crackerjack,Mr. & Mrs. Charles C. Stalter,Hound,False
155,1968,Dachshund (Smooth),Ch. Crosswynd’s Crackerjack,Mr. & Mrs. Charles C. Stalter,Hound,False
156,1967,Afghan Hound,Ch. Akaba’s Blue Devil,Lois R. Boardman,Hound,False
157,1966,Afghan Hound,Ch. Sahadi Shikari,Soroya Kennels,Hound,False
158,1965,Whippet,Ch. Courtenay Fleetfoot of Pennyworth,Pennyworth Kennels,Hound,False
159,1964,Whippet,Ch. Courtenay Fleetfoot of Pennyworth,Pennyworth Kennels,Hound,True
160,1963,Greyhound,Ch. Rudel’s Firefly,Elsie S. Neustadt,Hound,False
161,1962,Afghan Hound,Ch. Akaba’s Top Brass,Lois R. Boardman,Hound,False
162,1961,Dachshund (Smooth),Ch. White Gables Ristocrat,Mrs. Albert E. Van Court,Hound,False
163,1960,Basset Hound,Ch. The Ring’s Banshee,Chris G. Teeter,Hound,False
164,1959,Norwegian Elkhound,Ch. Tortasen’s Bjonn II,Pitch Road Kennels,Hound,False
165,1958,Whippet,Ch. Laguna Lucky Lad,Mardormere Kennels,Hound,False
